::ffff:127.0.0.1 - - [20/Apr/2020:22:14:27 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:22:14:40 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:22:14:55 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:22:16:45 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:22:16:59 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:22:18:29 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:22:26:40 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" - - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:22:28:09 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 500 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:22:28:10 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 500 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:22:29:08 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 500 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:22:29:09 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 500 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:22:30:33 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 200 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:22:30:45 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:22:32:26 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:22:32:40 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
::ffff:127.0.0.1 - - [20/Apr/2020:22:33:51 +0000] "GET /movie/allData?page=0&length=30&column=0&dir=1 HTTP/1.1" 304 - "http://127.0.0.1:8080/" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1"
